epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.4051,0.24621,0.9875,1,0.03526,0.00036984,0.00036984,0.00036984
2,116.531,0.09113,0.985,1,0.03905,0.000593619,0.000593619,0.000593619
3,176.974,0.06556,0.99867,1,0.00915,0.000670746,0.000670746,0.000670746
4,238.354,0.03163,1,1,6e-05,0.000451066,0.000451066,0.000451066
5,297.808,0.00987,1,1,5e-05,0.000231088,0.000231088,0.000231088
