epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.6329,0.3175,1,1,0.00259,0.000369346,0.000369346,0.000369346
2,55.0439,0.12117,0.99533,1,0.00969,0.000593223,0.000593223,0.000593223
3,81.6719,0.08708,0.99667,1,0.01118,0.000670448,0.000670448,0.000670448
4,108.059,0.04648,1,1,0.00068,0.000451066,0.000451066,0.000451066
5,134.749,0.01713,1,1,2e-05,0.000231088,0.000231088,0.000231088
